dataset,colinear
wilt,True
analcatdata_authorship,False
eucalyptus,False
diabetes,False
vowel,False
pc4,True
mfeat-factors,True
liver-disorders,False
waveform-5000,False
credit-g,False
ozone-level-8hr,True
climate-model-simulation-crashes,False
breast-w,False
iris,True
mfeat-karhunen,False
cmc,False
blood-transfusion-service-center,False
banknote,False
phoneme,False
kc1,True
wdbc,True
tic-tac-toe,False
qsar-biodeg,False
cardiotocography,True
badges2,True
mfeat-zernike,False
